PRODUCT_CATEGORY,REVIEW_TEXT,SAMPLE_TYPE
Apparel,"Apart from that, this is a very pretty &#34;dress&#34; dress.  It looks like it will last quite a while but I am not sure how long it will last. Pros: - Very comfortable and stylish<br />- Looks great on the inside of my waistband<br />- Doesn't look as big as most dress pants<br />- Will probably buy more in the future! Cons: - Don't know what else you can get for it...",NON-GUIDED
Health & Personal Care,Wonderful taste.  Opened my mouth a few days ago and I am so glad I did.,GUIDED
Video Games,"I'm a huge fan of video games, and I've always been disappointed with the quality.  However, this game is far superior to any other console in my opinion. The graphics are better than anything else out there that I can tell you about.  It's not as sharp or pixelated as others, but at least it looks great! If you're looking for something like an action-adventure game (which isn't much of a stretch), then this is your chance.  If you're looking for something like Call of Duty: Modern Warfare 2, then this is what you'll be looking for.  The gameplay is very similar to those of Call of Duty: Modern Warfare 3; however, they have some similarities.  Each character has their own unique weapon/clutter mechanic which allows you to select different types of weapon/clutter depending on how many rounds you have before switching between them.",NON-GUIDED
Home Improvement,I had a hard time getting this unit to work on my new home.  I was so excited about it that I decided to give it a try.,GUIDED
Beauty,Why spend loads of money on something that doesn't work? I bought this for my boyfriend and he loves it.,GUIDED
Health & Personal Care,"I love this product.  I have been using it for a couple of weeks now and am very happy with the results.  It has helped me focus my energy more, which is why I use it.",GUIDED
Home,"Terrific pair of shoes.  I wear them all the time. I bought these for my husband and he loves them.  He wears them every now and then, but sometimes it doesn't bother him that much.",GUIDED
Home,"Sometimes I am tempted to buy more expensive watches, but this one is exactly what I was looking for.<br />It's a beautiful watch and it looks great on my wrist.  The only complaint I have is that the strap seems to be slipping off after about 2-3 months of use.",NON-GUIDED
Office Products,"I've been using this product for over a year now.  I use it every day on my desk, as well as in the office. My wife and I have always wanted something that would be accessible to all of us without having to worry about our kids getting hurt or anything like that. This is one of those things where you don't want to rely on your coworkers to make any kind of decision.  It's so much easier to get what you pay for than spending hundreds of dollars on an expensive piece of equipment.",NON-GUIDED
Video DVD,"No doubt about it.  The quality is great, the sound is very good and there are plenty of songs to listen to. I would recommend this DVD for anyone who needs a portable DVD player.",NON-GUIDED
Musical Instruments,"insufficient info.  This is a very good instrument for beginners, especially those who don't know how to use these instruments.",GUIDED
Home Improvement,Awesome product.  I have a lot of spare parts and this is one of those things that needs to be fixed. Pros:<br />- Easy to set up<br />- Easily installs without having to unplug the power cord<br />- Does not require you to plug it in (or use)<br />- Doesn't take long to figure out how to turn on/off at certain points<br />- You don't have to go through any troubleshooting steps before installing<br />- Has adjustable height for easy installation<br />- No need to re-plug the power cord after each install<br />- Includes two extra USB 3.,NON-GUIDED
Wireless,"This is more versatile than I expected.  It does what it's supposed to do and doesn't interfere with my phone. Pros:<br />- Easy to use, easy to set up<br />- Wireless charging very quickly<br />- Bluetooth 4.",GUIDED
Lawn and Garden,"Excellent product.  I use it every day with my garden hose, so when I need something to protect my plants from sunburns or other harsh chemicals, this is the one.",NON-GUIDED
